Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"AcademicCalendarID",C6F1E26F-5F83-C186-D9D7-8711D311F10E,210,,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"CalendarTerm_T1",,,VARCHAR,7,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",E4BDC470-C20C-DE12-6CFE-3509EEC28681,211,,0C7A995E-2D9F-BB49-975D-F3BB7F9CF678,100,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AdmissionProgress_T2",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",87797C5F-1318-D7F8-B109-62841C17A2CF,212,,0FBE82E0-CCF2-9665-D210-A583D18EF54D,115,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdmissionApplicationTerm",,,VARCHAR,6,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",ECDEB0E6-E041-4693-E890-3F382AC9280C,213,,4FA66A85-7CD3-5CD1-3397-880B85F3E950,155,Y,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"Session_T1",,,VARCHAR,5,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",2CF9F103-A8D3-BB5F-B9BF-D5CAB35A5BF6,214,,57318C2E-7790-141F-C6C2-41125639E2D8,123,Y,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimTerm",,,VARCHAR,3,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",B810CEF8-6298-31AA-3DF3-65A0B81661D8,215,,78CA9723-A53A-59AC-334E-F658F6DE3728,99,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AdmissionProgress_T1",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",24BEA6AE-50DF-5527-8345-9D1509E20136,216,,8007C8C4-EF58-E8AD-55A7-BFAA3E83A1B7,91,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"AcademicCareer_T1",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",5FB6C488-65EA-AD76-B2CF-1D1A2B9BAADD,217,,89C77555-6D99-9745-682C-2036D8376FB0,114,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentAdmissionApplication",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",34203328-1BA6-AA77-C0E5-56CB6D495979,218,,943E9288-A316-14CF-870E-243488D680E9,119,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentPrimaryProgramPlanTerm",,,VARCHAR,5,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",EB26ADD7-973A-5215-1CAD-4965258685B9,219,,9AD7D89D-41D6-F462-501E-32A07CA90CB5,102,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"CalendarTerm_T1",,,VARCHAR,6,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
